,Home Odds,Vis Odds,Home Win,Prev Predictions,Current Predictions,Ensemble,Prev Predictions Home Outcome,Prev Predictions Vis Outcome,Current Predictions Home Outcome,Current Predictions Vis Outcome,Ensemble Home Outcome,Ensemble Vis Outcome
87430,2.28,1.67,False,0.5057618,0.5433349,0.52454835,-1.0,0.0,0.0,0.0,0.0,0.0
87431,1.6,2.43,False,0.46761733,0.5172312,0.49242428,-1.0,0.0,0.0,0.0,0.0,0.0
87432,1.73,2.17,True,0.49627766,0.49435985,0.49531877,0.73,0.0,0.0,0.0,0.0,0.0
87433,1.84,2.01,False,0.503693,0.49629253,0.49999276,-1.0,0.0,0.0,0.0,0.0,0.0
87434,1.53,2.62,False,0.5671019,0.5887566,0.57792926,-1.0,0.0,0.0,0.0,0.0,0.0
87435,1.54,2.58,True,0.5637565,0.59371734,0.5787369,0.54,0.0,-1.0,0.54,0.0,0.0
87436,1.73,2.18,True,0.48912558,0.55429715,0.52171135,0.73,0.0,0.0,0.0,0.0,0.0
87437,1.33,3.48,True,0.60364485,0.59535766,0.59950125,0.0,0.0,-1.0,0.33000000000000007,-1.0,0.33000000000000007
87438,2.07,1.8,False,0.4857209,0.50897115,0.49734604,-1.0,0.0,0.0,0.0,0.0,0.0
87439,1.82,2.03,True,0.6168455,0.59897757,0.6079115,0.8200000000000001,0.0,-1.0,0.8200000000000001,-1.0,0.8200000000000001
87440,1.84,2.01,True,0.5443963,0.5593295,0.5518629,0.8400000000000001,0.0,0.0,0.0,0.0,0.0
87441,1.87,1.98,False,0.4686856,0.5551426,0.5119141,-1.0,0.0,0.0,0.0,0.0,0.0
87442,1.85,2.0,False,0.5057618,0.5433349,0.52454835,-1.0,0.0,0.0,0.0,0.0,0.0
87443,1.36,3.28,False,0.60364485,0.59535766,0.59950125,0.0,0.0,2.28,-1.0,2.28,-1.0
87444,1.71,2.2,True,0.49627766,0.49435985,0.49531877,0.71,0.0,0.0,0.0,0.0,0.0
87445,1.78,2.1,False,0.539813,0.5070269,0.52342,-1.0,0.0,0.0,0.0,0.0,0.0
87446,1.88,1.97,False,0.48912558,0.55429715,0.52171135,-1.0,0.0,0.0,0.0,0.0,0.0
87447,1.77,2.1,True,0.53629434,0.5575405,0.54691744,0.77,0.0,0.0,0.0,0.0,0.0
87448,1.71,2.21,False,0.5443962,0.5593295,0.55186284,-1.0,0.0,0.0,0.0,0.0,0.0
87449,1.63,2.36,False,0.5671019,0.5887566,0.57792926,-1.0,0.0,0.0,0.0,0.0,0.0
87450,1.42,2.98,False,0.46761733,0.5172312,0.49242428,0.0,0.0,0.0,0.0,0.0,0.0
87451,1.7,2.22,False,0.6168455,0.5989776,0.6079116,-1.0,0.0,1.2200000000000002,-1.0,1.2200000000000002,-1.0
87452,2.02,1.84,False,0.4857209,0.50897115,0.49734604,-1.0,0.0,0.0,0.0,0.0,0.0
